PDF: asm-handbook-v2.pdf (3470 pages)
Output: E:\AgentProjects\ai-solution-architect-lab\projects\foundry-knowledge-base\processed\asm-handbook-v2_extracted_20260626_120528.jsonl
Range: pages 1-3470
============================================================
  [50/3470] 68 chunks, 18 tables (3.5 pg/s)
  [100/3470] 163 chunks, 64 tables (3.8 pg/s)
  [150/3470] 249 chunks, 100 tables (4.1 pg/s)
  [200/3470] 326 chunks, 127 tables (3.9 pg/s)
  [250/3470] 433 chunks, 184 tables (4.0 pg/s)
  [300/3470] 539 chunks, 240 tables (4.2 pg/s)
  [350/3470] 652 chunks, 303 tables (4.3 pg/s)
  [400/3470] 764 chunks, 365 tables (4.5 pg/s)
  [450/3470] 873 chunks, 424 tables (4.5 pg/s)
  [500/3470] 973 chunks, 474 tables (4.5 pg/s)
  [550/3470] 1061 chunks, 512 tables (4.4 pg/s)
  [600/3470] 1160 chunks, 561 tables (4.5 pg/s)
  [650/3470] 1282 chunks, 633 tables (4.5 pg/s)
  [700/3470] 1366 chunks, 668 tables (4.6 pg/s)
  [750/3470] 1453 chunks, 705 tables (4.5 pg/s)
  [800/3470] 1551 chunks, 753 tables (4.4 pg/s)
  [850/3470] 1638 chunks, 790 tables (4.4 pg/s)
  [900/3470] 1735 chunks, 837 tables (4.2 pg/s)
  [950/3470] 1825 chunks, 878 tables (4.3 pg/s)
  [1000/3470] 1926 chunks, 929 tables (4.3 pg/s)
  [1050/3470] 2018 chunks, 971 tables (4.4 pg/s)
  [1100/3470] 2110 chunks, 1013 tables (4.3 pg/s)
  [1150/3470] 2203 chunks, 1056 tables (4.3 pg/s)
  [1200/3470] 2291 chunks, 1094 tables (4.4 pg/s)
  [1250/3470] 2343 chunks, 1096 tables (4.4 pg/s)
  [1300/3470] 2414 chunks, 1117 tables (4.4 pg/s)
  [1350/3470] 2496 chunks, 1149 tables (4.3 pg/s)
  [1400/3470] 2580 chunks, 1183 tables (4.3 pg/s)
  [1450/3470] 2675 chunks, 1228 tables (4.3 pg/s)
  [1500/3470] 2770 chunks, 1273 tables (4.4 pg/s)
  [1550/3470] 2863 chunks, 1316 tables (4.4 pg/s)
  [1600/3470] 2952 chunks, 1355 tables (4.3 pg/s)
  [1650/3470] 3033 chunks, 1386 tables (4.3 pg/s)
  [1700/3470] 3127 chunks, 1430 tables (4.3 pg/s)
  [1750/3470] 3215 chunks, 1469 tables (4.3 pg/s)
  [1800/3470] 3292 chunks, 1496 tables (4.4 pg/s)
  [1850/3470] 3381 chunks, 1536 tables (4.4 pg/s)
  [1900/3470] 3457 chunks, 1563 tables (3.4 pg/s)
  [1950/3470] 3524 chunks, 1580 tables (3.5 pg/s)
  [2000/3470] 3598 chunks, 1604 tables (3.5 pg/s)
  [2050/3470] 3685 chunks, 1641 tables (3.5 pg/s)
  [2100/3470] 3751 chunks, 1657 tables (3.6 pg/s)
  [2150/3470] 3815 chunks, 1674 tables (3.6 pg/s)
  [2200/3470] 3895 chunks, 1705 tables (3.6 pg/s)
  [2250/3470] 3975 chunks, 1737 tables (2.6 pg/s)
  [2300/3470] 4044 chunks, 1756 tables (2.7 pg/s)
  [2350/3470] 4115 chunks, 1777 tables (2.7 pg/s)
  [2400/3470] 4204 chunks, 1816 tables (2.7 pg/s)
  [2450/3470] 4287 chunks, 1850 tables (2.7 pg/s)
  [2500/3470] 4364 chunks, 1877 tables (2.8 pg/s)
  [2550/3470] 4453 chunks, 1916 tables (2.8 pg/s)
  [2600/3470] 4514 chunks, 1927 tables (2.8 pg/s)
  [2650/3470] 4588 chunks, 1951 tables (2.3 pg/s)
  [2700/3470] 4655 chunks, 1968 tables (2.3 pg/s)
  [2750/3470] 4726 chunks, 1989 tables (2.3 pg/s)
  [2800/3470] 4797 chunks, 2010 tables (2.3 pg/s)
  [2850/3470] 4854 chunks, 2017 tables (2.4 pg/s)
  [2900/3470] 4905 chunks, 2018 tables (2.4 pg/s)
  [2950/3470] 5005 chunks, 2069 tables (2.4 pg/s)
  [3000/3470] 5112 chunks, 2127 tables (2.4 pg/s)
  [3050/3470] 5203 chunks, 2168 tables (2.5 pg/s)
  [3100/3470] 5291 chunks, 2206 tables (2.5 pg/s)
  [3150/3470] 5373 chunks, 2238 tables (2.5 pg/s)
  [3200/3470] 5485 chunks, 2300 tables (2.6 pg/s)
  [3250/3470] 5555 chunks, 2320 tables (2.6 pg/s)
  [3300/3470] 5626 chunks, 2341 tables (2.1 pg/s)
  [3350/3470] 5698 chunks, 2363 tables (2.2 pg/s)
  [3400/3470] 5777 chunks, 2392 tables (2.2 pg/s)
  [3450/3470] 5830 chunks, 2395 tables (2.2 pg/s)
============================================================
Done: 3470 pages, 5850 chunks (2395 tables) in 1586.2s
Output: E:\AgentProjects\ai-solution-architect-lab\projects\foundry-knowledge-base\processed\asm-handbook-v2_extracted_20260626_120528.jsonl
